Number ,Site,Period,botanical,flotation,flot but no botanical ,bot? not reported,quantified ,rough quantantification,species list (period defined),Species list (no period),SiteName,Co-ord E,Co ord N
1,Alamgirpur,MH,Y,Y,,,,,Y,,Alamgirpur,77.49916667,29.05722222
1,Alamgirpur,H,Y,Y,,,,,,Y,Alamgirpur,77.49916667,29.05722222
2,Allahdino,MH,Y,,Y,,,,,,Allahdino,67.3,24.95
3,Babar Kot ,H,Y,Y,,,Y,Y,,Y,Babar Kot ,71.5708,22.2678
3,Babar Kot ,EH,Y,Y,,,Y,,Y,,Babar Kot ,71.5708,22.2678
3,Babar Kot ,MH,Y,Y,,,Y,,Y,,Babar Kot ,71.5708,22.2678
3,Babar Kot ,Late MH,Y,Y,,,Y,,Y,,Babar Kot ,71.5708,22.2678
3,Babar Kot ,LH,Y ,Y,,,Y,,Y,,Babar Kot ,71.5708,22.2678
4,Bagasra,MH,Y,,Y,,,,,,Bagasra,70.6203,23.0368
5,Bahola,LH,Y,Y,,,Y,Y,Y,,Bahola,76.788,29.806
6,Balakot,EH,Y,Y,,,,,Y,,Balakot,66.725,25.475
6,Balakot,MH,Y,Y,,,,,Y,,Balakot,66.725,25.475
7,Balathal,LH,Y,,,,,,Y,Y,Balathal,76.38777778,29.67083333
8,Balu,EH,Y,Y,,,Y,,Y,,Balu,76.38777778,29.67083333
8,Balu,MH,Y,Y,,,Y,Y,Y,,Balu,76.38777778,29.67083333
9,Banawali,EH,Y,,,,,,Y,,Banawali,75.39222222,29.59833333
9,Banawali,MH,Y ,,,,,,Y,,Banawali,75.39222222,29.59833333
10,Bhirrana,H,Y,,,,,,,Y,Bhirrana,75.54805556,29.55527778
11,Burj,EH,Y,Y,,,Y,Y,Y,,Burj,75.64111111,29.65638889
12,Burthana-Tigrana,2000-2500BC,Y,Y,,,,,,Y,Burthana-Tigrana,76.13666667,28.8875
13,Chanhu-Daro,H,Y,,,,,,,Y,Chanhu-Daro,68.3322,26.1708
14,Dabli vas Chugta,MH,Y,Y,,,Y,Y,Y,,Dabli vas Chugta,74.1711,29.5275
15,Daimabad,H?,Y,,,,,,,Y,Daimabad,74.6007,19.4228
16,Datrana,EH,Y,Y,,,Y,,,,Datrana,71.11388889,23.76666667
17,Daulatpur,LH,Y,,,,,,Y,,Daulatpur,76.9397,29.9643
18,Farmana,EH,Y,Y,,,,Y,Y,,Farmana,76.3084,29.0406
18,Farmana,MH,Y,Y,,,,Y,Y,,Farmana,76.3084,29.0406
18,Farmana,H,Y,Y,,,,Y,,Y,Farmana,76.3084,29.0406
19,Harappa,EH,Y,Y,,,Y,,,,Harappa,72.8667,30.6333
19,Harappa,MH,Y,Y,,,Y,,,,Harappa,72.8667,30.6333
19,Harappa,LH,Y,Y,,,Y,,,,Harappa,72.8667,30.6333
19,Harappa,H,Y,Y,,,,,,Y,Harappa,72.8667,30.6333
20,Hulas,H,Y,,,,,,Y,,Hulas,77.3595,29.7044
20,Hulas,LH,Y,Y,,,Y,Y,Y,,Hulas,77.3595,29.7044
21,Juni Kuran,MH,Y,,,,,,,Y,Juni Kuran,69.7651,23.9623
21,Juni Kuran,LH,Y,,,,,,,Y,Juni Kuran,69.7651,23.9623
21,Juni Kuran,H,Y,,,,,,,Y,Juni Kuran,69.7651,23.9623
22,Kalibangan,MH,Y,,,,,Y,,,Kalibangan,74.1299,29.4728
22,Kalibangan,H,Y,,,,,,,Y,Kalibangan,74.1299,29.4728
23,Kanmer ,EH,Y,Y,,,Y,,Y,,Kanmer ,70.8632,23.4179
23,Kanmer ,MH,Y,Y,,,Y,,Y,,Kanmer ,70.8632,23.4179
23,Kanmer ,LH,Y,Y,,,Y,,Y,,Kanmer ,70.8632,23.4179
23,Kanmer ,H,Y,,,,,,,Y,Kanmer ,70.8632,23.4179
23,Kanmer ,2800-1500BC,Y,,,,,,,Y,Kanmer ,70.8632,23.4179
24,Karanapura,EH,,,,Y,,,,,Karanapura,75.0972,29.1081
24,Karanapura,MH,,,,Y,,,,,Karanapura,75.0972,29.1081
25,Khirsara,MH,Y,Y,,,Y,,,,Khirsara,69.05,23.45
25,Khirsara,2800-2000BC,Y,,,,,,,Y,Khirsara,69.05,23.45
26,Kot Diji,H,Y,,,,,,,Y?,Kot Diji,68.7046,27.347
26,Kot Diji,MH,,,,,,,,,Kot Diji,68.7046,27.347
27,Kunal,EH,Y,Y,,,,Y,Y,,Kunal,75.65888889,29.62138889
27,Kunal,LH,Y,,,,,,Y,,Kunal,75.65888889,29.62138889
28,Kuntasi,MH,Y,,,,,,,,Kuntasi,70.6001,22.8922
28,Kuntasi,LH,Y,,,,,,,,Kuntasi,70.6001,22.8922
28,Kuntasi,H,Y,,,,,Y,,Y,Kuntasi,70.6001,22.8922
29,Laduwala,2300-2800BC,Y,Y,,,,,,Y,Laduwala,75.57,29.07
30,Lak Largai,EH,Y,Y,,,,,,Y,Lak Largai,70.5167,32.8167
